Nombre y Apellidos / Izen-abizenak,Vecindad / Non bizi zen,Lugar Muerte / Non hil zuten,Fecha / Data,Modo / Nola hil zuten
"Acereda Madaria, Tomas",Arteaga,Derio,1938-01-09,Fusilado / Fusilatua
"Acero Landeta, Emilio",,Asturias,1937-02-23,Muerto frente / Frontean hila
"Acevedo Alvarez, Manuel",Sebero,Bizkargi,1937-05-12,Muerto frente / Frontean hila
"Acevedo Caballero, Santos",Burgos,Irun,1936-08-26,Muerto frente / Frontean hila
"Acha Arrizabalaga, Manuel",Deustu,Zornotza,1937-05-16,Muerto frente / Frontean hila
"Acha Berasategui, Saturnino",La Arboleda,Urkiola,1937-04-14,Muerto frente / Frontean hila
"Acha Larrinaga, Lucio",Laudio,Hospital El Sitio,1937-04-09,Muerto frente / Frontean hila
"Acha Luna, Jose",Eibar,Eibar,1937-04-24,Muerto frente / Frontean hila
"Acha, Domingo",Orozko,,1937-05-25,Muerto frente / Frontean hila
"Acha, Paulino",Bermeo,Bermeo,1937-05-02,Otras circunstancias / Beste batzuk
"Achabal Mendieta, Jose Maria",,Asturias,1937-02-23,Muerto frente / Frontean hila
"Achalandabaso Idiaquez, Jacinto",Erandio,Lekeitio,1937-02-04,Muerto frente / Frontean hila
"Acharandio Sasia, Antolin",Barakaldo,Hospital Barakaldo,1937-05-09,Muerto frente / Frontean hila
"Achirika Ibarbengoechea, Remigio",Bizkaia,Cantabrico,1937-03-05,Muerto frente / Frontean hila
"Achurra Allende, Placido",Getxo,Sollube,1937-05-11,Muerto frente / Frontean hila
"Acibo Villabon, Jesus",,Otxandio,1937-04-04,Muerto frente / Frontean hila
"Acordagoitia Zuazo, Silverio",,Mekoleta,1937-04-04,Muerto frente / Frontean hila
"Acorda-Rementeria Gabiola, Enrique",,,,Muerto frente / Frontean hila
"Acosta Escobar, Antonio",Barakaldo,Bizkargi,1937-05-16,Muerto frente / Frontean hila
"Acosta Escobar, Juan",Barakaldo,Escamplero,1936-10-20,Muerto frente / Frontean hila
"Adarraga Larburu, Jose",Hernani,Hernani,1936-10-17,Fusilado / Fusilatua
"Adell Garcia, Maximo",Bilbo,Etxaguen,1936-12-03,Muerto frente / Frontean hila
"Aedo Renieblas, Albino",Abanto,Otañez,1937-08-12,Muerto frente / Frontean hila
"Agay Pra, Esteban",Deustu,Prision Deustu,1939-03-01,Fusilado / Fusilatua
"Agorreta Inciso, Jose",,Morga,1937-05-12,Muerto frente / Frontean hila
"Agorria Zorrozua, Santos",Amorebieta,Cabezon de la Sal,1937-08-24,Muerto frente / Frontean hila
"Agote Santamaria, Jacinto",Bermeo,Aramaio,1937-04-03,Muerto frente / Frontean hila
"Agote, Julian",,Izuskiza,1936-10-08,Muerto frente / Frontean hila
"Agraz Mazquiaran, Justo",Ortuella,Ollerias,1936-12-05,Muerto frente / Frontean hila
"Aguado Serrano, Faustino",Tomelloso,Prision Orduña,1941-04-15,Muerto prisión / Espetxean hila
"Aguado Sesma, Jesus",Santurtzi,,1937-07-08,Muerto frente / Frontean hila
"Aguado Vazquez, Bienvenido",Santurtzi,Baranbio,1936-12-08,Muerto frente / Frontean hila
"Aguado, Santiago",,,1937-05-15,Muerto frente / Frontean hila
"Aguayo Barrios, Enrique",Hernani,Artxanda,1937-06-17,Muerto frente / Frontean hila
"Agueda San Juan, Julian",Gasteiz,Elorrio,1936-10-07,Muerto frente / Frontean hila
"Agüero Ruiz, Arsenio",Barakaldo,Bilbo,1937-09-09,Fusilado / Fusilatua
"Agüero Villa, Jose",Portugalete,Bilbo,1937-12-16,Fusilado / Fusilatua
"Aguete Lino, Manuel",Bilbo,Markina,1936-12-26,Muerto frente / Frontean hila
"Aguilar Alfayate, Jesus",Bilbo,Otxandio,,Desaparecido / Desagertua
"Aguilar Cubero, Jesus",Bilbo,Ubidea,1936-12-21,Muerto frente / Frontean hila
"Aguilar Goicoechea, Cipriano",,,,Muerto frente / Frontean hila
"Aguilar Goicoechea, Esteban",,,,Muerto frente / Frontean hila
"Aguilleira, Jose",Bilbo,Banderas,1940-02-18,Fusilado / Fusilatua
"Aguinaga Barinaga, Marcelino",Getxo,Hospital Zornotza,1937-04-26,Muerto frente / Frontean hila
"Aguinaga Bilbao, Antonio",Plentzia,Burgos,1938-09-28,Fusilado / Fusilatua
"Aguinaga Escalante, Vicente",,,,Muerto frente / Frontean hila
"Aguinaga Ingunza, Valentina",Dima,Dima,1937-04-07,Bombardeo / Bonbardaketan hila
"Aguinaga Torret, Jose",Gatika,Asturias,1937-03-20,Muerto frente / Frontean hila
"Aguinaga, Bautista",Usurbil,Orio,1936-10-10,Fusilado / Fusilatua
"Aguinaga, Benito",Markina,Gasteiz,,Fusilado / Fusilatua
"Aguinagalde Echevarria, Jose Ignacio",Ortuella,Usartza,1936-10-08,Muerto frente / Frontean hila
"Aguinako Escalante, Vicente",Balmaseda,Aramaio,1937-03-31,Muerto frente / Frontean hila
"Aguiriano Arana, Mariano",Deba,,,Fusilado / Fusilatua
"Aguiriano Arana, Pedro",Arrasate,Hernani,1936-10-22,Fusilado / Fusilatua
"Aguirre Amalloa, Ricardo",,Asturias,1937-02-23,Muerto frente / Frontean hila
"Aguirre Arregui, Fernando",Tolosa,,,Muerto frente / Frontean hila
"Aguirre Arregui, Jose Maria",Azpeitia,San Cristobal,1937-09-08,Fusilado / Fusilatua
"Aguirre Arteaga, Francisco",Bilbo,Hospital El Sitio,1937-05-10,Muerto frente / Frontean hila
"Aguirre Axuria, Tomas",Bilbo,Cantabrico,1937-03-05,Muerto frente / Frontean hila
"Aguirre Bilbao, Juan",Mungia,Elgoibar,1936-09-25,Muerto frente / Frontean hila
"Aguirre Camino, Francisco",Azagra,Barazar,1937-04-05,Muerto frente / Frontean hila
"Aguirre Duñabietia, Vicenta",Durango,Durango,1937-03-31,Bombardeo / Bonbardaketan hila
"Aguirre Echezarreta, Basilio",,Asturias,1937-02-22,Muerto frente / Frontean hila
"Aguirre Fernandez, Jose Maria",Bilbo,Udala,1937-04-22,Muerto frente / Frontean hila
"Aguirre Gallastegui, Pedro Julian",Zumaia,Meagas,1936-10-01,Fusilado / Fusilatua
"Aguirre Gandiaga, Basilio",,Asturias,1937-02-23,Muerto frente / Frontean hila
"Aguirre Garcia, Isidoro",Bilbo,Asturias,1937-02-23,Muerto frente / Frontean hila
"Aguirre Garcia, Jose",Gasteiz,Cartagena,1939-02-05,Bombardeo / Bonbardaketan hila
"Aguirre Gomez, Trino",Eibar,Bilbo,1938-03-11,Fusilado / Fusilatua
"Aguirre Gondra, Gonzalo",Busturia,Otxandio,1937-03-31,Muerto frente / Frontean hila
"Aguirre Gorostarzu, Joaquin",Alegia,Frente Gipuzkoa,1937-04-30,Muerto frente / Frontean hila
"Aguirre Igarcha, Juan",Apatamonasterio,Euba,1937-05-01,Muerto frente / Frontean hila
"Aguirre Imaz, Valentina",Bermeo,Bermeo,1937-05-02,Bombardeo / Bonbardaketan hila
"Aguirre Iturbe, Jose",Bilbo,Bilbo,1946-07-31,Fusilado / Fusilatua
"Aguirre Iturriotz, Damaso",Zarautz,Zarautz,1942-02-26,Fusilado / Fusilatua
"Aguirre Labrisca, Carlos",Bilbo,Bilbo,1937-06-19,Muerto frente / Frontean hila
"Aguirre Lapatra, Tomas",Bilbo,Bermeo,1937-05-02,Otras circunstancias / Beste batzuk
"Aguirre Larizgoitia, Felipe",,,,Muerto frente / Frontean hila
"Aguirre Larrazabal, Pedro",Mungia,Mungia,1937-05-19,Bombardeo / Bonbardaketan hila
"Aguirre Laucirica, Felipe",Ibarruri,Durango,1937-06-11,Otras circunstancias / Beste batzuk
"Aguirre Llano, German",Muskiz,Zornotza,1937-05-14,Muerto frente / Frontean hila
"Aguirre Lopez De Briñas, Arturo",Gasteiz,Gasteiz,1936-09-05,Fusilado / Fusilatua
"Aguirre Lopez, Jose",Eibar,Bilbo,1937-09-11,Fusilado / Fusilatua
"Aguirre Lopez, Romualdo",Basauri,Zaldibar,1937-04-26,Muerto frente / Frontean hila
"Aguirre Menoyo, Epifanio",Orduña,Orduña,1937-01-14,Muerto frente / Frontean hila
"Aguirre Mota, Antonio",,Hospital Basurto,1937-06-19,Muerto frente / Frontean hila
"Aguirre Orrantia, Andres",,,1937-04-11,Muerto frente / Frontean hila
"Aguirre Pozueta, Juan",Tolosa,Araia,1936-09-22,Fusilado / Fusilatua
"Aguirre Pozueta, Pedro",Ziordia,,,Muerto frente / Frontean hila
"Aguirre Ramillon, Antonio",Irun,Asturias,1937-02-23,Muerto frente / Frontean hila
"Aguirre Rioseco, Antonio",Bilbo,Carrascain,1937-04-22,Muerto frente / Frontean hila
"Aguirre Telleria, Francisco",Zaldibar,Iruñea,1938-05-26,Fusilado / Fusilatua
"Aguirre Vicuña, Estefania",Abadiño,Durango,1937-03-31,Bombardeo / Bonbardaketan hila
"Aguirre Zaldibia, Damaso",Ubidea,Otxandio,1937-04-04,Muerto frente / Frontean hila
"Aguirre Zarrionaindia, Domingo",,Jata,1937-05-12,Muerto frente / Frontean hila
"Aguirre Zozaya, Iñaki",Abanto,Bilbo,1938-10-24,Fusilado / Fusilatua
"Aguirre, Ambrosio",,Asturias,1937-02-23,Muerto frente / Frontean hila
"Aguirre, Javier",Ondarroa,Bilbo,1938-03-11,Fusilado / Fusilatua
"Aguirre, Jorge",Bilbo,Gasteiz,1937-06-26,Fusilado / Fusilatua
"Aguirre, Justo",Elgoibar,,,Fusilado / Fusilatua
"Aguirrebalzategui Aguirre, Jose",Deustu,Sollube,1937-05-07,Muerto frente / Frontean hila
"Aguirrebalzategui, Vicente",,Amurrio,1937-05-26,Muerto frente / Frontean hila
"Aguirrebeitia Aguirrebeitia, Pedro Maria",Abadiño,Durango,1937-03-31,Bombardeo / Bonbardaketan hila
"Aguirrebeitia Vicarra, Begoña",Durango,Durango,1937-03-31,Bombardeo / Bonbardaketan hila
"Aguirrebeitia, Aniceto",,,1937-05-16,Muerto frente / Frontean hila
"Aguirreche Mendia, Julio",Bilbo,Dima,1937-04-07,Muerto frente / Frontean hila
"Aguirregabiria Onaindia, Pedro",Ortuella,Derio,,Fusilado / Fusilatua
"Aguirregaviria, Clotilde",Durango,Durango,1937-03-31,Bombardeo / Bonbardaketan hila
"Aguirregaviria, Jose",Portugalete,Derio,,Fusilado / Fusilatua
"Aguirregoitia Aguirre, Laureano",Sopela,Durango,1937-04-26,Muerto frente / Frontean hila
"Aguirregoitia Barrenechea, Mateo",Algorta,Bilbo,1937-10-27,Fusilado / Fusilatua
"Aguirregoitia Bilbao, Juan",,,,Muerto frente / Frontean hila
"Aguirregomecorta Otza, Vicente",Mutriku,Cantabrico,1937-03-05,Muerto frente / Frontean hila
"Aguirregomezcorta Echezarreta, Francisco",Bilbo,Bilbo,1936-09-01,Bombardeo / Bonbardaketan hila
"Aguirregomezcorta Malcorra, Iñaki",Portugalete,Mañaria,1937-04-07,Muerto frente / Frontean hila
"Aguirregomezcorta Manzisidor, Modesto",Mutriku,Cantabrico,1937-05-01,Muerto frente / Frontean hila
"Aguirregomezcorta, Tomas",,Asturias,,Muerto frente / Frontean hila
"Aguirremalloa Basterrechea, Ricardo",Gernika,Asturias,1937-02-23,Muerto frente / Frontean hila
"Aguirremota, Zacarias",,,1937-05-15,Muerto frente / Frontean hila
"Aguirreoa Odiaga, Rufino",Ondarroa,Sollube,,Muerto frente / Frontean hila
"Aguirrezabal Azcarate, Casimiro",Antzuola,Elgeta,1937-04-20,Muerto frente / Frontean hila
"Aguirrezabal Medinazcotia, Pedro",Oñati,Burgos,1939-01-28,Fusilado / Fusilatua
"Aguirrezabala Arza, Agapito",Orozko,Legutio,1936-12-02,Muerto frente / Frontean hila
"Aguirrezabala Deida, Jose Luis",Bilbo,Otxandio,1937-04-02,Muerto frente / Frontean hila
"Aguirrezabala Imaz, Inocencio",Lazkao,Donostia,1939-05-31,Fusilado / Fusilatua
"Aguizu, Rufino",Bergara,Descarga,1936-10-20,Fusilado / Fusilatua
"Aguruza Martinez, Jaime",Beasain,Beasain,1936-07-28,Fusilado / Fusilatua
"Agusti San Juan, Jose",Deustu,Prision Deustu,1939-03-18,Fusilado / Fusilatua
"Ahedo Navaridas, Jose",Castro Urdiales,Nafarrate,1936-12-04,Muerto frente / Frontean hila
"Aira Amiama, Agustin",Sestao,Barazar,1937-04-07,Muerto frente / Frontean hila
"Ait Echezaran, Feliciano",,Valdecilla,1937-07-28,Muerto frente / Frontean hila
"Aizpuru Arregui, Agustin",Eibar,Hospital Urkiola,1937-01-10,Muerto frente / Frontean hila
"Aizpurua Agorria, Alejandro",Bilbo,Legutio,1936-12-02,Muerto frente / Frontean hila
"Aizpurua Aizpurua, Jose Luis",Zumaia,Durango,1936-10-04,Muerto frente / Frontean hila
"Aizpurua Albizuri, Jose",Zumarraga,Bermeo,1937-05-10,Muerto frente / Frontean hila
"Aizpurua Alcorta, Francisco",Usurbil,Orio,1936-10-10,Fusilado / Fusilatua
"Aizpurua Arrizabalaga, Vicente",Deba,Legutio,1936-12-02,Muerto frente / Frontean hila
"Aizpurua Azcue, Tomas Nemesio",Zumaia,Zumaia,1937-04-09,Fusilado / Fusilatua
"Aizpurua Balda, Lorenzo",,,,Muerto frente / Frontean hila
"Aizpurua Cestona, Eusebio",Asteasu,,1936-10-24,Fusilado / Fusilatua
"Aizpurua Chapartegui, Manuel",Zumaia,Mungia,1937-05-12,Muerto frente / Frontean hila
"Aizpurua Cincunegui, Jesus",Zumaia,,,Desaparecido / Desagertua
"Aizpurua Izaguirre, Baltasar",Deba,Itziar,1937-11-14,Fusilado / Fusilatua
"Aizpurua, Fernando",,Amurrio,1937-05-27,Muerto frente / Frontean hila
"Aja Aja, Valeriano",Bilbo,Bilbo,1938-03-12,Fusilado / Fusilatua
"Aja Fernandez, Manuel",,,,Muerto frente / Frontean hila
"Aja Hoz, Manuel",Santander,Aramaio,1936-12-04,Muerto frente / Frontean hila
"Ajamil Saenz, Hipolito",Langraiz Oka,Burgos,1936-09-01,Fusilado / Fusilatua
"Ajarnaute Enrique, Eduardo",Hernani,Hernani,1936-11-28,Fusilado / Fusilatua
"Ajuria Achutegui, Jesus",Algorta,Gasteiz,1937-09-15,Fusilado / Fusilatua
"Ajuria Alvaro, Justo",Bilbo,Bilbo,,Fusilado / Fusilatua
"Ajuria Mara, Justo",Sondika,Bilbo,1937-09-11,Fusilado / Fusilatua
"Ajuria Zarraoa, Agustina",Elorrio,Elorrio,1936-11-12,Bombardeo / Bonbardaketan hila
"Ajuria Zarraoa, Leonardo",Elorrio,Elorrio,1936-11-12,Bombardeo / Bonbardaketan hila
"Ajuriaguerra Artabe, Dionisia",Otxandio,Otxandio,1936-07-22,Bombardeo / Bonbardaketan hila
"Ajuriaguerra Bergareche, Tomas",Beasain,Durango,1937-04-26,Bombardeo / Bonbardaketan hila
"Ajuriaguerra Echevarria, Juliana",Otxandio,Otxandio,1936-07-22,Bombardeo / Bonbardaketan hila
"Akarregi Arregi, Simon",Deustu,Sollube,1937-05-06,Muerto frente / Frontean hila
"Akarregi Arregi, Tomas",Deustu,Sollube,1937-05-17,Muerto frente / Frontean hila
"Akizu Izurrategui, Victoriano",Aretxabaleta,Hernani,,Fusilado / Fusilatua
"Alabara Jimenez, Ramon",Deustu,Prision Deustu,1938-08-31,Fusilado / Fusilatua
"Alacano Edesa, Jose",Karrantza,Araba,1936-12-02,Muerto frente / Frontean hila
"Alacano Sagarduy, Isidro",,,,Muerto frente / Frontean hila
"Alaiz Mayordomo, German",Bilbo,Sollube,1937-05-17,Muerto frente / Frontean hila
"Alaiz Mayordomo, Marcelino",Barakaldo,Elorrio,1937-05-24,Muerto frente / Frontean hila
"Alamino Saez De Ibarra, Jose",Zornotza,Hospital Zornotza,1937-03-19,Muerto frente / Frontean hila
"Alamo Olmedo, Antonio",Granja De Torrehermosa,Prision Orduña,1941-04-09,Muerto prisión / Espetxean hila
"Alangua Gil De San Vicente, Angela",Bilbo,Bilbo,1936-09-25,Bombardeo / Bonbardaketan hila
"Alaña Acarregui, Francisco",Bilbo,Otxandio,1937-04-04,Muerto frente / Frontean hila
"Alarcia, Julian",Gasteiz,,1936-09-01,Fusilado / Fusilatua
"Alastra Madarieta, Nemesio",Ea,Cantabrico,1937-03-05,Muerto frente / Frontean hila
"Alastuei Ormazabal, Ramon",Oñati,Hernani,1936-11-05,Fusilado / Fusilatua
"Alava Llano, Eugenio",Barakaldo,Hospital Basurto,1937-06-11,Muerto frente / Frontean hila
"Alava Ruiz, Gerardo",Alonsotegi,Otxandio,1937-04-02,Muerto frente / Frontean hila
"Alava Sautu, Luis",Gasteiz,Madrid,1943-05-06,Fusilado / Fusilatua
"Alava Villanueva, Vidal",Hueto De Arriba,,,Desaparecido / Desagertua
"Alba Ferreiro, Constantino",Gallarta,Asturias,1937-02-25,Muerto frente / Frontean hila
"Alba Ferreiro, Marcelino",Gallarta,Asturias,1937-02-21,Muerto frente / Frontean hila
"Albajara Ballesteros, Epifanio",Bilbo,Bilbo,1937-10-28,Fusilado / Fusilatua
"Alberdi Alberdi, Jose Antonio",Zestoa,Asturias,1936-09-27,Muerto frente / Frontean hila
"Alberdi Alberdi, Jose Maria",Mutriku,Sollube,1937-05-07,Muerto frente / Frontean hila
"Alberdi Alberdi, Miguel",Azkoitia,Madrid,1938-03-07,Fusilado / Fusilatua
"Alberdi Aldai, Luis",Donostia,Asturias,1937-02-21,Muerto frente / Frontean hila
"Alberdi Arrieta, Jose",Elgoibar,Malzaga,1936-12-26,Fusilado / Fusilatua
"Alberdi Balanzategui, Agustin",Eibar,Zugastieta,1937-04-30,Muerto frente / Frontean hila
"Alberdi Balanzategui, Saturnino",Eibar,Eibar,1937-04-27,Muerto frente / Frontean hila
"Alberdi Beovide, Alicia",Durango,Durango,1937-03-31,Bombardeo / Bonbardaketan hila
"Alberdi Beovide, Lucia",Durango,Durango,1937-03-31,Bombardeo / Bonbardaketan hila
"Alberdi Ceberio, Felix",Aretxabaleta,Larrinaga,1937-12-14,Fusilado / Fusilatua
"Alberdi Echaniz, Jose Maria",Elgoibar,Malzaga,1936-12-26,Fusilado / Fusilatua
"Alberdi Fernandez, Mikel",Zarautz,Bidania,1936-08-16,Muerto frente / Frontean hila
"Alberdi Fuldain, Juan Martin",Arrasate,Lemoa,1937-05-30,Muerto frente / Frontean hila
"Alberdi Gomez De Segura, Juan",,Lemoa,1937-06-03,Muerto frente / Frontean hila
"Alberdi Mendizabal, Luis",Azkoitia,Madrid,,Fusilado / Fusilatua
"Alberdi Peña, Fermin",Abanto,Markina,1936-12-31,Muerto frente / Frontean hila
"Alberdi Ruiz, Jose Maria",Abanto,Barazar,1937-04-07,Muerto frente / Frontean hila
"Alberdi Santorcuarto, Iñaki",Galdakao,Galdakao,1937-04-09,Bombardeo / Bonbardaketan hila
"Alberdi Uria, Francisco",Andoain,Bizkargi,1937-05-11,Muerto frente / Frontean hila
"Alberdi Uria, Guillermo",Azkoitia,Lezama,1937-06-19,Muerto frente / Frontean hila
"Alberdi, Angel",,,1937-06-04,Muerto frente / Frontean hila
"Alberdi, Victor",Gernika,Bilbo,,Fusilado / Fusilatua
"Albert Desvert, Jaime",Deustu,Prision Deustu,1939-01-26,Fusilado / Fusilatua
"Alberti, Manuel Justo",Oiartzun,Lesaka,1936-08-11,Fusilado / Fusilatua
"Albinarrate Casas, Marcelino",Bilbo,Fika,1937-06-15,Muerto frente / Frontean hila
"Albinarrate Gonzalez, Vicente",Sestao,Otxandio,1936-07-22,Muerto frente / Frontean hila
"Albiñana Muñoz, Bautista",Arrigorriaga,Bilbo,1937-07-19,Muerto frente / Frontean hila
"Albistegui, Guillermo",Bilbo,Gernika,1937-05-02,Muerto frente / Frontean hila
"Albisu Vidaur, Gervasio",Errenteria,Hernani,1936-10-09,Fusilado / Fusilatua
"Albisu, Fermin",Zarautz,Frente Gipuzkoa,1936-08-31,Muerto frente / Frontean hila
"Albizu Aispurua, Jose",Zumaia,Otxandio,1937-04-04,Muerto frente / Frontean hila
"Albizu Arriola, Ignacio",Ibarruri,Otxandio,1937-05-31,Muerto frente / Frontean hila
"Albizu Arriola, Prudencio",Ibarruri,Otxandio,1937-05-31,Muerto frente / Frontean hila
"Albizu Echave, Aniceto",Elgoibar,Albertia,1937-03-31,Muerto frente / Frontean hila
"Albizu Indo, Melchor",Getaria,Cantabrico,1937-03-05,Muerto frente / Frontean hila
"Albizu Lopez, Alfredo",Sestao,Eibar,1936-10-08,Muerto frente / Frontean hila
"Albizu Pichot, Constancio",Bilbo,Bilbo,1937-04-18,Bombardeo / Bonbardaketan hila
"Albizu Zugadi, Matias",Ibarruri,Sollube,1937-04-19,Muerto frente / Frontean hila
"Albizuri Alberdi, Gregorio",,,1937-05-12,Muerto frente / Frontean hila
"Alcain Olloquiegui, Francisco",Lasarte,Euba,1937-05-05,Muerto frente / Frontean hila
"Alcalde Gonzalez, Felix",,,,Muerto frente / Frontean hila
"Alcalde Renero, Ovidio",Burgos,Otxandio,1937-04-04,Muerto frente / Frontean hila
"Alcaraz Calahuig, Francisco",Deustu,Prision Deustu,1939-03-15,Fusilado / Fusilatua
"Alcaraz Valibrea, Jines",Alcurez,Prision Orduña,1938-09-01,Muerto prisión / Espetxean hila
"Alcedo Sanchez, Fernando",La Arboleda,Legutio,1936-12-03,Muerto frente / Frontean hila
"Alcelay, Julian",Hernani,,,Fusilado / Fusilatua
"Alcibar Eizaguirre, Jose Antonio",Zarautz,Artxanda,1937-06-19,Muerto frente / Frontean hila
"Alcorta Bockmann, Eduardo",,Orduña,1937-05-29,Muerto frente / Frontean hila
"Alcorta Muguruza, Geronimo",,,,Muerto frente / Frontean hila
"Alcorta Zumeta, Josefa",Bilbo,Bilbo,1937-04-18,Bombardeo / Bonbardaketan hila
"Alcubilla Blanco, Tomas",Bedia,Larrabetzu,1937-06-13,Muerto frente / Frontean hila
"Alda Gonzalo, Santos",Tolosa,Tolosa,1936-08-13,Fusilado / Fusilatua
"Aldabaldetrecu Vitoria, Juan",Donostia,Hernani,1936-10-08,Fusilado / Fusilatua
"Aldabaldetrecu Zaldua, Manuel",Donostia,Donostia,1936-10-09,Fusilado / Fusilatua
"Aldache Alberdi, Juan",Bilbo,Hospital Basurto,1937-05-29,Muerto frente / Frontean hila
"Aldaco Ulacia, Emilio",Donostia,Donostia,1940-08-29,Fusilado / Fusilatua
"Aldaiturriaga Guinea, Juana",Laudio,Laudio,1937-06-21,Fusilado / Fusilatua
"Aldaiturriaga Sagarduy, Juan",Luiando,Orduña,1936-12-11,Muerto frente / Frontean hila
"Aldalur Irigoien, Fermin",Irun,Otxandio,1937-04-04,Muerto frente / Frontean hila
"Aldalur Soraluce, Andres",Errezil,Donostia,1937-04-28,Fusilado / Fusilatua
"Aldama Peña, Jose",Bilbo,Barazar,1937-04-07,Muerto frente / Frontean hila
